date,fire_count
2014-01-01,1
2014-01-02,0
2014-01-03,1
2014-01-04,2
2014-01-05,1
2014-01-06,1
2014-01-07,3
2014-01-08,3
2014-01-09,5
2014-01-10,2
2014-01-11,2
2014-01-12,6
2014-01-13,1
2014-01-14,3
2014-01-15,2
2014-01-16,2
2014-01-17,1
2014-01-18,1
2014-01-19,2
2014-01-20,5
2014-01-21,1
2014-01-22,0
2014-01-23,0
2014-01-24,4
2014-01-25,1
2014-01-26,1
2014-01-27,1
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,2
2014-02-01,3
2014-02-02,3
2014-02-03,5
2014-02-04,2
2014-02-05,3
2014-02-06,1
2014-02-07,2
2014-02-08,1
2014-02-09,1
2014-02-10,3
2014-02-11,0
2014-02-12,0
2014-02-13,2
2014-02-14,0
2014-02-15,2
2014-02-16,1
2014-02-17,6
2014-02-18,3
2014-02-19,6
2014-02-20,4
2014-02-21,5
2014-02-22,4
2014-02-23,2
2014-02-24,2
2014-02-25,1
2014-02-26,4
2014-02-27,7
2014-02-28,4
2014-03-01,2
2014-03-02,1
2014-03-03,0
2014-03-04,3
2014-03-05,3
2014-03-06,2
2014-03-07,9
2014-03-08,7
2014-03-09,8
2014-03-10,5
2014-03-11,4
2014-03-12,6
2014-03-13,8
2014-03-14,6
2014-03-15,15
2014-03-16,11
2014-03-17,9
2014-03-18,5
2014-03-19,8
2014-03-20,9
2014-03-21,6
2014-03-22,2
2014-03-23,8
2014-03-24,5
2014-03-25,4
2014-03-26,2
2014-03-27,2
2014-03-28,5
2014-03-29,8
2014-03-30,16
2014-03-31,11
2014-04-01,2
2014-04-02,6
2014-04-03,6
2014-04-04,11
2014-04-05,10
2014-04-06,3
2014-04-07,0
2014-04-08,4
2014-04-09,8
2014-04-10,7
2014-04-11,9
2014-04-12,8
2014-04-13,10
2014-04-14,15
2014-04-15,8
2014-04-16,15
2014-04-17,12
2014-04-18,16
2014-04-19,14
2014-04-20,8
2014-04-21,2
2014-04-22,1
2014-04-23,3
2014-04-24,8
2014-04-25,1
2014-04-26,10
2014-04-27,8
2014-04-28,10
2014-04-29,6
2014-04-30,4
2014-05-01,3
2014-05-02,3
2014-05-03,3
2014-05-04,4
2014-05-05,10
2014-05-06,5
2014-05-07,5
2014-05-08,1
2014-05-09,7
2014-05-10,8
2014-05-11,3
2014-05-12,2
2014-05-13,2
2014-05-14,3
2014-05-15,5
2014-05-16,8
2014-05-17,12
2014-05-18,21
2014-05-19,18
2014-05-20,16
2014-05-21,8
2014-05-22,3
2014-05-23,7
2014-05-24,5
2014-05-25,7
2014-05-26,4
2014-05-27,3
2014-05-28,2
2014-05-29,7
2014-05-30,4
2014-05-31,7
2014-06-01,8
2014-06-02,6
2014-06-03,4
2014-06-04,3
2014-06-05,6
2014-06-06,10
2014-06-07,7
2014-06-08,6
2014-06-09,7
2014-06-10,11
2014-06-11,10
2014-06-12,3
2014-06-13,16
2014-06-14,9
2014-06-15,16
2014-06-16,9
2014-06-17,18
2014-06-18,14
2014-06-19,10
2014-06-20,10
2014-06-21,12
2014-06-22,22
2014-06-23,20
2014-06-24,5
2014-06-25,22
2014-06-26,14
2014-06-27,16
2014-06-28,9
2014-06-29,7
2014-06-30,2
2014-07-01,14
2014-07-02,9
2014-07-03,25
2014-07-04,33
2014-07-05,4
2014-07-06,11
2014-07-07,2
2014-07-08,8
2014-07-09,10
2014-07-10,4
2014-07-11,2
2014-07-12,6
2014-07-13,4
2014-07-14,7
2014-07-15,12
2014-07-16,23
2014-07-17,7
2014-07-18,9
2014-07-19,6
2014-07-20,8
2014-07-21,2
2014-07-22,19
2014-07-23,12
2014-07-24,21
2014-07-25,6
2014-07-26,8
2014-07-27,15
2014-07-28,12
2014-07-29,18
2014-07-30,18
2014-07-31,11
2014-08-01,23
2014-08-02,24
2014-08-03,22
2014-08-04,37
2014-08-05,16
2014-08-06,4
2014-08-07,14
2014-08-08,5
2014-08-09,12
2014-08-10,4
2014-08-11,5
2014-08-12,3
2014-08-13,8
2014-08-14,4
2014-08-15,3
2014-08-16,7
2014-08-17,11
2014-08-18,5
2014-08-19,9
2014-08-20,8
2014-08-21,12
2014-08-22,8
2014-08-23,17
2014-08-24,7
2014-08-25,0
2014-08-26,2
2014-08-27,2
2014-08-28,3
2014-08-29,5
2014-08-30,3
2014-08-31,9
2014-09-01,4
2014-09-02,11
2014-09-03,6
2014-09-04,7
2014-09-05,9
2014-09-06,8
2014-09-07,8
2014-09-08,8
2014-09-09,7
2014-09-10,7
2014-09-11,2
2014-09-12,8
2014-09-13,11
2014-09-14,11
2014-09-15,7
2014-09-16,11
2014-09-17,9
2014-09-18,12
2014-09-19,3
2014-09-20,2
2014-09-21,6
2014-09-22,5
2014-09-23,7
2014-09-24,4
2014-09-25,4
2014-09-26,7
2014-09-27,3
2014-09-28,10
2014-09-29,4
2014-09-30,5
2014-10-01,7
2014-10-02,8
2014-10-03,7
2014-10-04,2
2014-10-05,1
2014-10-06,4
2014-10-07,1
2014-10-08,2
2014-10-09,4
2014-10-10,3
2014-10-11,7
2014-10-12,4
2014-10-13,2
2014-10-14,2
2014-10-15,1
2014-10-16,3
2014-10-17,1
2014-10-18,1
2014-10-19,2
2014-10-20,5
2014-10-21,3
2014-10-22,4
2014-10-23,13
2014-10-24,11
2014-10-25,8
2014-10-26,7
2014-10-27,8
2014-10-28,8
2014-10-29,4
2014-10-30,6
2014-10-31,9
2014-11-01,0
2014-11-02,2
2014-11-03,1
2014-11-04,2
2014-11-05,15
2014-11-06,5
2014-11-07,4
2014-11-08,9
2014-11-09,3
2014-11-10,5
2014-11-11,1
2014-11-12,2
2014-11-13,1
2014-11-14,1
2014-11-15,6
2014-11-16,1
2014-11-17,2
2014-11-18,3
2014-11-19,4
2014-11-20,2
2014-11-21,1
2014-11-22,3
2014-11-23,4
2014-11-24,2
2014-11-25,5
2014-11-26,1
2014-11-27,0
2014-11-28,2
2014-11-29,1
2014-11-30,2
2014-12-01,4
2014-12-02,3
2014-12-03,2
2014-12-04,1
2014-12-05,1
2014-12-06,2
2014-12-07,0
2014-12-08,2
2014-12-09,2
2014-12-10,1
2014-12-11,3
2014-12-12,6
2014-12-13,2
2014-12-14,1
2014-12-15,3
2014-12-16,1
2014-12-17,4
2014-12-18,2
2014-12-19,5
2014-12-20,2
2014-12-21,1
2014-12-22,2
2014-12-23,3
2014-12-24,2
2014-12-25,2
2014-12-26,0
2014-12-27,1
2014-12-28,3
2014-12-29,1
2014-12-30,2
2014-12-31,8
